Tribe Full Name,Tribe,Tribe Alternate Name,Tribal Component,Salutation,First Name,Middle Name,Last Name,Suffix,aka,Job Title,Organization,BIA Region,BIA Agency,Address 1,Address 2,City,State,StateName,ZIPCode,Alaska,Phone,Fax,E-mail,Web Site,FEDEX Address 1,FEDEX Address 2,FEDEX City,FEDEX State,FEDEX ZipCode,Date Elected,Next Election,Directory,Notes,ANCSA Region,BLM Region,BOR Region,FWS Region,LCC,NPS Region,USGS Region,Latitude,Longitude,Modified
"Chickahominy Indian Tribe, Inc.","Chickahominy Indian Tribe, Inc.",,Tribe,,Stephen,"R,",Adkins,,,Chief,"Chickahominy Indian Tribe, Inc.",Eastern,Eastern Regional Office,8200 Lott Cary Road,,Providence Forge,VA,Virginia,23140,,804-829-2027,,,,,,,,,,,,,?,,,,,,,37.413198,-77.124221,3/6/2018 12:49
Absentee-Shawnee Tribe of Indians of Oklahoma,Absentee-Shawnee,A-S Tribe,Tribe,,Edwina,,Butler-Wolfe,,,Governor,,Southern Plains,Southern Plains Regional Office,2025 South Gordon Cooper Drive,,Shawnee,OK,Oklahoma,74801,No,(405) 275-4030,(405) 878-4543,edwinab@astribe.com,http://www.absenteeshawneetribe-nsn.gov,SAME,,,,,6/17/2017,6/15/2019,Tribal,OSG,,New Mexico,Great Plains,Region 2 - Southwest,,Intermountain,Southwest,35.2768946,-96.930272,10/20/2017 5:51
"Agua Caliente Band of Cahuilla Indians of the Agua Caliente Indian Reservation, California",Agua Caliente,Agua Caliente Indian Reservation,Tribe,,Jeff,,Grubbe,,,Chairman,,Pacific,Palm Springs Agency,Agua Caliente Tribal Administration Plaza,5401 Dinah Shore Drive,Palm Springs,CA,California,92264,No,(760) 699-6800,(760) 699-6919,,http://www.aguacaliente.org/#http://www.aguacaliente.org,SAME,,,,,,,Tribal,Actual Election Date TBD.,,California,Lower Colorado,Region 8 - Pacific Southwest,California,Pacific West,Pacific,33.808101,-116.487954,2/23/2017 14:02
Ak-Chin Indian Community ,Ak Chin,,Tribe,,Robert,H.,Miguel,,,Chairman,,Western,Pima Agency,42507 W. Peters & Nall Road,,Maricopa,AZ,Arizona,85138,No,(520) 568-1000,(520) 568-1001,,http://www.ak-chin.nsn.us,SAME,,,,,,,Tribal,,,Arizona,Lower Colorado,Region 2 - Southwest,,Intermountain,Southwest,33.000136,-112.0478707,4/10/2018 12:17
Alabama-Coushatta Tribe of Texas,Alabama-Coushatta,,Tribe,,JoAnn,,Battise,,,Chairperson,,Southern Plains,Southern Plains Regional Office,571 State Park Road 56,,Livingston,TX,Texas,77351,No,(936) 563-1100,(936) 563-1139,tcjabattise@actribe.org,http://www.alabamacoushata.org,SAME,,,,,,11/7/2017,Tribal,,,New Mexico,Great Plains,Region 2 - Southwest,,Intermountain,Southwest,30.7139321,-94.6731544,6/6/2017 6:37
Alabama-Quassarte Tribal Town,Alabama-Quassarte,,Tribe,,Nelson,Scott,Harjo,,,Chief,,Eastern Oklahoma,Okmulgee Agency,P.O. Box 187,,Wetumka,OK,Oklahoma,74883,No,(405) 452-3987,(405) 452-3968,chief@alabama-quassarte.org,http://www.alabama-quassarte.org,101 East Broadway,,Wetumka,OK,74883,5/6/2017,5/1/2021,Tribal,,,New Mexico,Great Plains,Region 2 - Southwest,,Intermountain,Southwest,35.2375883,-96.2416731,6/1/2017 6:51
"Alturas Indian Rancheria, CA",Alturas,,Tribe,,Contact BIA Servicing Office/Agency,,,,,Chairperson,,Pacific,Northern California Agency,P.O. Box 340,,Alturas,CA,California,96101,No,,,,,901 County Road 56,,Alturas,CA,96101,,,Tribal,Actual election date TBD.,,California,Mid-Pacific,Region 8 - Pacific Southwest,,Pacific West,Pacific,41.4871146,-120.5424555,2/23/2017 14:02
Apache Tribe of Oklahoma,Apache,,Tribe,,Bobby,,Komardley,,,Chairman,,Southern Plains,Anadarko Agency,P.O. Box 1330,,Anadarko,OK,Oklahoma,73005,No,(405) 247-9493,(405) 247-2763,bkomardley@outlook.com,,511 East Colorado,,Anadarko,Oklahoma,73005,3/19/2016,3/17/2018,Tribal,,,New Mexico,Great Plains,Region 2 - Southwest,,Intermountain,Southwest,35.066056,-98.2389378,10/20/2017 5:50
"Arapaho Tribe of the Wind River Reservation, Wyoming",Northern Arapaho,,Tribe,,Ron,B.,Brown,,,Chairman,Northern Arapaho Business Council,Rocky Mountain,Wind River Agency,P.O. Box 396,,Fort Washakie,WY,Wyoming,82514,No,(307) 332-6120,(307) 332-7543,,http://www.northernarapaho.com,533 Ethete Road,,Ethete,WY,82520,11/20/2014,11/17/2016,Tribal,,,Wyoming,Great Plains,Region 6 - Mountain-Prairie,,Intermountain,Northwest,43.006346,-108.882346,4/11/2018 11:53
Aroostook Band of Micmacs,Aroostok,,Tribe,,Edward,,Peter-Paul,,,Chief,,Eastern,Eastern Regional Office,7 Northern Road,,Presque Isle,ME,Maine,04769,No,(207) 764-1972,(207) 764-7667,EPeterPaul@micmac-nsn.gov; tribalcouncil@micmac-nsn.gov,http://www.micmac-nsn.gov,SAME,,,,,6/1/2013,5/1/2017,Tribal,,,Eastern States,,Region 5 - Northeast,North Atlantic,Northeast,Northeast,46.697744,-68.033885,2/23/2017 14:02
"Assiniboine & Sioux Tribes of the Fort Peck Indian Reservation, MT",Assiniboine and Sioux,,Tribe,,Floyd,,Azure,,,Chairman,,Rocky Mountain,Fort Peck Agency,P.O. Box 1027,,Poplar,MT,Montana,59255,No,(406) 768-2300,(406) 768-5478,,http://www.fortpecktribes.org,501 Medicine Bear Road,,Poplar,MT,59255,10/26/2013,,Tribal,,,Montana/Dakotas,Great Plains,Region 6 - Mountain-Prairie,,Intermountain,Northwest,48.1130741,-105.1983149,2/23/2017 14:02
"Augustine Band of Cahuilla Indians, California",Augustine,Augustine Reservation,Tribe,,Amanda,,Vance,,,Chairperson,,Pacific,Southern California Agency,P.O. Box 846,,Coachella,CA,California,92236,No,(760) 398-4722,(760) 398-4252,,http://www.augustinetribe.org,84481 Avenue 54,,Coachella,CA,92236,12/14/2015,12/14/2021,Tribal,Contact Tribe for election information.,,California,Mid-Pacific,Region 8 - Pacific Southwest,,Pacific West,Pacific,33.6885095,-116.1477598,2/23/2017 14:02
Bad River Band of Lake Superior Tribe of Chippewa Indians,Bad River Band,,Tribe,,Michael ,,Wiggins ,,,Chairman,,Midwest,Great Lakes Agency,P.O. Box 39,,Odanah,WI,Wisconsin,54861,No,(715) 682-7111,(715) 682-7118,MikeW@badriver-nsn.gov,http://www.badriver-nsn.gov/home,Chief Blackbird Center,72682 Maple Street,Odanah,WI,54861,11/7/2017,11/7/2019,Tribal,Chairman's Assistant - Barb Smart  brtsecretary@badriver-nsn-gov ,,Eastern States,,Region 3 - Midwest,,Midwest,Midwest,46.6083268,-90.6969042,11/27/2017 15:31
"Bay Mills Indian Community, Michigan",Bay Mills,,Tribe,,Bryan,,Newland,,,President,,Midwest,Michigan Agency,12140 West Lakeshore Drive,,Brimley,MI,Michigan,49715,No,(906) 248-3241,(906) 248-3283,BNewland@baymills.org,http://www.baymills.org,SAME,,,,,11/1/2017,11/1/2019,Tribal,,,Eastern States,,Region 3 - Midwest,,Midwest,Midwest,46.4524756,-84.6032488,11/27/2017 15:37
"Bear River Band of the Rohnerville Rancheria, California",Bear River,Rohnerville Rancheria,Tribe,,Barry,,Brenard,,,Chairman,,Pacific,Northern California Agency,266 Keisner Road,,Loleta,CA,California,95551,No,(707) 733-1900,(707) 733-1972,willamsand@brb-nsn.gov,http://www.bearrivertribe.com,SAME,,,,,3/26/2016,3/1/2020,Tribal,Actual election date TBD.,,California,Mid-Pacific,Region 8 - Pacific Southwest,,Pacific West,Pacific,40.6301812,-124.2022063,2/23/2017 14:02
Berry Creek Rancheria of Maidu Indians of California,Berry Creek,,Tribe,,Francis,,Steele,Jr.,,Chairman,,Pacific,Central California Agency,5 Tyme Way,,Oroville,CA,California,95966,No,(530) 534-3859,(530) 534-1151,jbrown@berrycreekrancheria.com,,SAME,,,,,1/10/2015,1/10/2019,Tribal,,,California,Mid-Pacific,Region 8 - Pacific Southwest,California,Pacific West,Pacific,39.5032863,-121.5027662,4/3/2017 9:52
"Big Lagoon Rancheria, California",Big Lagoon,,Tribe,,Virgil,,Moorehead,,,Chairman,,Pacific,Northern California Agency,P.O. Box 3060,,Trinidad,CA,California,95570,No,(707) 826-2079,(707) 826-0495,vmoorehead@earthlink.net,,708 9th Street,,Arcata,CA,95521,,,Tribal,Contact tribe for election information.,,California,Mid-Pacific,Region 8 - Pacific Southwest,,Pacific West,Pacific,41.059291,-124.1431246,2/23/2017 14:02
Big Pine Paiute Tribe of the Owens Valley,Big Pine,,Tribe,,Shannon,,Romero,,,Chairperson,,Pacific,Central California Agency,P.O. Box 700,,Big Pine,CA,California,93513,No,(760) 938-2003,(760) 938-2942,info@BigPinePaiute.org,,825 South Main Street,,Big Pine,CA,93513,7/1/2015,6/30/2017,Tribal,Contact tribe for election information.,,California,Lower Colorado,Region 8 - Pacific Southwest,,Pacific West,Pacific,37.1649307,-118.289546,2/23/2017 14:02
Big Sandy Rancheria of Western Mono Indians of California,Big Sandy,,Tribe,,Elizabeth,,Kipp,,,Chairperson,,Pacific,Central California Agency,P.O. Box 337,,Auberry,CA,California,93602,No,(559) 855-4003,(559) 855-4129,ek@bigsandyrancheria.com,http://www.bigsandyrancheria.com,37387 Auberry Mission Road,,Auberry,CA,93602,,,Tribal,Contact Tribe for election information.,,California,Mid-Pacific,Region 8 - Pacific Southwest,California,Pacific West,Pacific,37.0807823,-119.4854113,2/23/2017 14:02
"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",Big Valley Rancheria,,Tribe,,Anthony,,Jack,,,Chairman,,Pacific,Central California Agency,2726 Mission Rancheria Road,,Lakeport,CA,California,95453,No,(707) 263-3924,(707) 263-3977,,http://www.bigvalleyrancheria.net,SAME,,,,,10/17/2011,10/17/2015,Tribal,,,California,Mid-Pacific,Region 8 - Pacific Southwest,California,Pacific West,Pacific,39.0237426,-122.8877954,2/23/2017 14:02
Bishop Paiute Tribe,Bishop Paiute,,Tribe,,Gerald,,Howard,,,Chairman,,Pacific,Pacific Regional Office,50 Tu Su Lane,,Bishop,CA,California,93514,No,(760) 873-3584,(760) 873-4143,,http://www.bishoppaiutetribe.com/,SAME,,,,,,,Tribal,Actual election date TBD.,,California,Lower Colorado,Region 8 - Pacific Southwest,,Pacific West,Pacific,37.3617454,-118.4183193,2/23/2017 14:02
Blackfeet Tribe of the Blackfeet Indian Reservation of MT,Blackfeet,,Tribe,,Harry,,Barnes,,,Chairman,Blackfeet Tribal Business Council,Rocky Mountain,Blackfeet Agency,P.O. Box 850,,Browning,MT,Montana,59417,No,(406) 338-7276,(406) 338-7530,,http://www.blackfeetnation.com,1 Agency Square,,Browning,MT,59417,6/24/2014,6/7/2016,Tribal,,,Montana/Dakotas,Great Plains,Region 6 - Mountain-Prairie,,Intermountain,Northwest,48.7606966,-113.1903952,2/23/2017 14:02
"Blue Lake Rancheria, California",Blue Lake,,Tribe,,Claudia,,Brundin,,,Chairperson,,Pacific,Northern California Agency,P.O. Box 428,,Blue Lake,CA,California,95525,No,(707) 668-5101,(707) 668-4272,aramsey@bluelakerancheria-nsn.gov,http://www.bluelakerancheria-nsn.gov,428 Chartin Road,,Blue Lake,CA,95525,12/12/2015,12/12/2017,Tribal,Actual election date TBD.,,California,Mid-Pacific,Region 8 - Pacific Southwest,,Pacific West,Pacific,40.8829072,-123.9839488,2/15/2018 10:28
Bridgeport Indian Colony,Bridgeport Indian Colony,,Tribe,,John,,Glazier,,,Chairperson,,Pacific,Central California Agency,P.O. Box 37,,Bridgeport,CA,California,93517,No,(760) 932-7083,(760) 932-7846,chair@bridgeportindiancolony.com,http://www.bridgeportindiancolony.com,355 Sage Brush Drive,,Bridgeport,CA,93517,,,Tribal,Actual election date TBD.,,California,Mid-Pacific,Region 8 - Pacific Southwest,California,Pacific West,Pacific,38.2557045,-119.2313932,2/23/2017 14:02
Buena Vista Rancheria of Me-Wuk Indians of California,Buena Vista Rancheria,,Tribe,,Rhonda,,Morningstar Pope,,,Chairperson,,Pacific,Central California Agency,1418 20th Street,Suite 200,Sacramento,CA,California,95811,No,(916) 491-0011,(916) 491-0012,,http://www.buenavistatribe.com,SAME,,,,,1/1/2012,1/1/2016,Tribal,,,California,Mid-Pacific,Region 8 - Pacific Southwest,California,Pacific West,Pacific,38.5715938,-121.4823938,4/10/2018 10:42
Burns Paiute Tribe,Burns Paiute,,Tribe,,Eric,,Hawley,,,Chairman,,Northwest,Warm Springs Agency,100 Pasigo Street,,Burns,OR,Oregon,97720-2442,No,(541) 573-2088,(541) 573-2323,TribalCouncil@burnspaiute-nsn.gov,http://www.burnspaiute-nsn.gov,SAME,,,,,9/28/2017,8/14/2018,Tribal,Tribal elections are on or about August 15 of each year.,,Oregon/Washington,Pacific Northwest,Region 1 - Pacific,,Pacific West,Northwest,43.5862606,-119.0541032,11/15/2017 10:30
"Cabazon Band of Mission Indians, California",Cabazon,Cabazon Reservation,Tribe,,Doug,,Welmas,,,Chairman,,Pacific,Pacific Regional Office,84-245 Indio Springs Parkway,,Indio,CA,California,92203,No,(760) 342-2593,(760) 347-7880,nmarkwardt@cabazonindians-nsn.gov,http://www.fantasyspringsresort.com,SAME,,,,,5/4/2013,5/1/2017,Tribal,Actual election date TBD.,,California,Lower Colorado,Region 8 - Pacific Southwest,,Pacific West,Pacific,33.7222052,-116.1951804,2/23/2017 14:02
"Cachil DeHe Band of Wintun Indians of the Colusa Indian Community of the Colusa Rancheria, California",Cachil DeHe,Colusa Rancheria,Tribe,,Wayne,,Mitchum,Jr.,,Chairman,,Pacific,Central California Agency,3730 Highway 45,,Colusa,CA,California,95932,No,(530) 458-8231,(530) 458-4186,cicc@colusa-nsn.gov,http://www.colusa-nsn.gov,SAME,,,,,11/10/2015,11/10/2016,Tribal,,,California,Mid-Pacific,Region 8 - Pacific Southwest,California,Pacific West,Pacific,39.2522314,-122.0315147,2/23/2018 15:41
Caddo Nation of Oklahoma,Caddo,,Tribe,,Tamara,Michele,Francis Fourkiller,,,Chairperson,,Southern Plains,Anadarko Agency,P.O. Box 487,,Binger,OK,Oklahoma,73009,No,(405) 656-2344,(405) 656-2892,tffourkiller.cn@gmail.com,http://www.caddonation-nsn.gov,507 NE 1 or 5 Miles West of City,,Binger,OK,73009,7/31/2016,7/31/2020,Tribal,,,New Mexico,Great Plains,Region 2 - Southwest,,Intermountain,Southwest,35.3089454,-98.3420014,2/23/2017 14:02
Cahto Tribe of the Laytonville Rancheria,Cahto,,Tribe,,Aimie,,Lucas,,,Chairperson,,Pacific,Central California Agency,P. O. Box 1239,,Laytonville,CA,California,95454,No,(707) 984-6197,(707) 984-6201,chairman@cahto.org,http://www.cahto.org,300 Cahto Drive,,Laytonville,CA,95454,,,Tribal,,,California,Mid-Pacific,Region 8 - Pacific Southwest,,Pacific West,Pacific,39.6882116,-123.4827942,2/23/2017 14:02
