.imp,state,year,fc_entered,fc_istpr,fc_caseload,fc_totalrem_mn,fc_inst,fc_aian_home,st_fips,pop_child
1,17,2004,7,0,9,1,0,0,17,17398
1,17,2005,6,10,29,1.0344827586206897,1,0,17,18563
1,17,2007,20,7,90,1.0888888888888888,10,0.031746031746031744,17,21252
1,17,2006,38,7,87,1.0229885057471264,27,0.5384615384615384,17,19842
1,17,2008,10,5,39,1.205128205128205,4,0,17,22862
1,17,2009,5,8,33,1.121212121212121,1,0,17,24467
1,17,2010,12,0,44,1.1818181818181819,6,0.24,17,26831
1,17,2011,8,5,33,1,2,0.041666666666666664,17,28268
1,17,2012,12,11,51,1,2,0,17,27416
1,17,2013,6,9,21,1,3,0,17,26651
1,17,2014,9,7,29,1.0689655172413792,5,0,17,25675
1,17,2015,17,2,41,1.0975609756097562,2,0,17,24840
1,17,2016,10,2,15,1.0666666666666667,1,0,17,23983
1,17,2017,15,0,15,1,0,0,17,23768
1,18,2004,125,85,347,1.2132564841498559,43,0.0421455938697318,18,6403
1,18,2005,111,52,266,1.199248120300752,28,0.061224489795918366,18,6625
1,18,2007,131,31,245,1.1959183673469387,30,0.11731843575418995,18,7233
1,18,2006,126,47,282,1.1312056737588652,25,0.06334841628959276,18,6902
1,18,2008,94,19,193,1.1139896373056994,14,0.22377622377622378,18,7501
1,18,2009,103,36,244,1.3442622950819672,5,0.06217616580310881,18,7900
1,18,2010,58,15,129,1.2325581395348837,13,0.03488372093023256,18,8406
1,18,2011,37,4,72,1.1388888888888888,8,0.023809523809523808,18,8712
1,18,2012,46,8,101,1.108910891089109,4,0.07042253521126761,18,8649
1,18,2013,46,12,105,1.0285714285714285,10,0.05263157894736842,18,8587
1,18,2014,20,8,51,1.1176470588235294,3,0,18,8598
1,18,2015,43,7,111,1.018018018018018,11,0.03076923076923077,18,8574
1,18,2016,42,1,73,1,3,0.07272727272727272,18,8465
1,18,2017,39,0,39,1,0,0.08571428571428572,18,8502
1,19,2004,139,71,300,1.4833333333333334,67,0.19047619047619047,19,4368
1,19,2005,194,85,468,1.3952991452991452,87,0.27699530516431925,19,4472
1,19,2007,105,42,248,1.1935483870967742,24,0.19008264462809918,19,4790
1,19,2006,109,39,270,1.2333333333333334,26,0.18620689655172415,19,4668
1,19,2008,137,57,285,1.2105263157894737,24,0.24832214765100671,19,5055
1,19,2009,158,49,349,1.3094555873925502,25,0.21052631578947367,19,5280
1,19,2010,173,71,385,1.264935064935065,43,0.17297297297297298,19,5358
1,19,2011,103,47,221,1.1447963800904977,15,0.25225225225225223,19,5535
1,19,2012,128,42,267,1.2284644194756553,18,0.25,19,5787
1,19,2013,134,40,264,1.1325757575757576,17,0.3671875,19,5952
1,19,2014,108,43,221,1.1357466063348416,12,0.34513274336283184,19,6243
1,19,2015,128,68,264,1.0681818181818181,9,0.22077922077922077,19,6408
1,19,2016,102,12,165,1.0787878787878789,7,0.4,19,6535
1,19,2017,54,4,54,1,5,0.3548387096774194,19,6564
1,12,2004,84,5,157,1.5031847133757963,10,0.3424657534246575,12,22547
1,12,2005,47,17,92,1.3478260869565217,6,0.2441860465116279,12,23370
1,12,2007,82,23,182,1.3131868131868132,9,0.4117647058823529,12,25265
1,12,2006,52,13,124,1.314516129032258,7,0.27350427350427353,12,23991
1,12,2008,99,27,189,1.17989417989418,10,0.4245810055865922,12,25938
1,12,2009,80,15,162,1.1358024691358024,12,0.4533333333333333,12,26113
1,12,2010,115,37,243,1.2592592592592593,10,0.42358078602620086,12,26203
1,12,2011,63,19,139,1.2302158273381294,11,0.2440944881889764,12,26371
1,12,2012,71,19,139,1.1798561151079137,5,0.417910447761194,12,25996
